chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,spectral_flux,rms_variance,tempo_proxy,mood,timestamp,source
0.263359,0.249024,33.979233,9.004739,11.758577,27.04662,0.056686,26.133333,-0.546167,-2.212696,2.549686,-1.363298,0.06199,0.193609,0.00106883,3.0,Energetic,2026-04-19T14:26:49.685630,real
0.248309,0.24726,19.08923,-0.369409,0.793037,27.556448,0.034607,36.8,-7.085039,-4.485779,1.967653,2.672628,1.415737,0.12813,0.00030412,4.0,Energetic,2026-04-19T14:27:35.425470,real
0.241782,0.244428,23.170557,6.814821,5.858045,29.817408,0.03702,31.733333,0.700037,4.232235,3.053113,1.92118,1.236282,0.149921,0.00042588,2.0,Energetic,2026-04-19T14:28:03.075791,real
0.247187,0.247636,27.798725,6.920059,8.635608,29.687613,0.043235,35.2,3.855034,1.806507,-1.785235,-1.456208,1.520189,0.150205,0.0006364,0.0,Energetic,2026-04-19T14:29:09.802757,real
0.257969,0.251746,26.654933,12.554489,9.667619,13.838661,0.053906,12.666667,9.144748,8.901431,6.55999,4.029729,3.032053,0.112989,0.00194234,0.0,Energetic,2026-04-19T14:29:35.470910,real
0.252038,0.248568,28.01185,3.579811,9.223331,22.403695,0.09187,33.866667,2.392701,4.786824,0.002677,-2.800745,0.731707,0.28931,0.01065784,2.0,Energetic,2026-04-19T14:30:05.956448,real
0.261276,0.252964,30.363167,14.937856,14.174583,19.241705,0.062636,14.133333,5.022968,3.720569,2.200569,1.528181,6.859536,0.153306,0.00191096,1.0,Energetic,2026-04-19T14:30:26.767237,real
0.244602,0.247586,31.054185,-0.753372,-1.580839,22.440506,0.05956,28.933333,7.788208,9.476029,5.758611,3.13506,2.946057,0.15462,0.00291469,2.0,Happy,2026-04-19T14:31:14.467444,real
0.244584,0.243913,41.228727,1.978039,6.840221,28.565355,0.076149,37.733333,4.412849,6.590153,2.696489,1.993181,7.071653,0.284695,0.00142222,1.0,Happy,2026-04-19T14:31:43.300410,real
0.243343,0.23904,29.414571,2.942545,5.324067,24.878557,0.055192,30.533333,4.889118,5.86391,1.407201,-2.609293,-0.659754,0.185526,0.00228703,4.0,Happy,2026-04-19T14:32:08.522289,real
0.243167,0.245895,26.877168,8.868785,7.217874,28.575084,0.048014,33.866667,-1.248895,0.199375,-1.357693,-1.2544,1.224468,0.140958,0.00163215,4.0,Happy,2026-04-19T14:32:34.471120,real
0.256729,0.250371,42.585528,8.606569,3.863603,23.793599,0.068693,31.466667,2.457855,1.262929,1.600292,0.48574,0.644846,0.19941,0.00168388,0.0,Happy,2026-04-19T14:33:26.901103,real
0.245447,0.246699,31.422799,5.458824,6.969486,24.604161,0.061942,27.066667,-1.448802,-0.181062,2.089963,2.095932,1.094161,0.278686,0.00165119,2.0,Happy,2026-04-19T14:34:36.993833,real
0.25686,0.251981,18.570639,4.817436,0.180703,25.299559,0.023084,30.133333,-1.187192,-0.505169,1.391879,2.083306,1.989929,0.06403,0.00050733,2.0,Happy,2026-04-19T14:35:02.331223,real
0.255094,0.255711,19.241878,3.764506,2.019454,24.538633,0.024796,33.733333,-0.175554,-1.122521,0.504913,0.496671,0.183749,0.095835,0.0004189,1.0,Happy,2026-04-19T14:35:24.745541,real
0.247164,0.238632,31.862128,6.421849,-0.805948,16.458954,0.060434,21.333333,3.083265,6.309067,4.123647,0.180646,-0.518036,0.151998,0.00345131,3.0,Happy,2026-04-19T14:35:48.932012,real
0.26506,0.262765,18.296993,2.357919,6.076455,29.685994,0.033899,39.733333,0.036967,-2.855021,-0.707777,1.739047,3.476031,0.13548,0.00082366,1.0,Happy,2026-04-19T14:36:14.161787,real
0.236455,0.242725,31.426396,8.215009,3.748505,18.629533,0.061668,19.733333,3.437433,6.772177,7.826083,7.929853,5.833008,0.154508,0.00187327,1.0,Happy,2026-04-19T14:36:48.700029,real
0.252456,0.24974,49.555917,6.818929,0.944913,18.183377,0.102197,19.6,-0.746739,4.434542,8.470177,7.099571,5.466207,0.390685,0.00402192,2.0,Happy,2026-04-19T14:37:07.725040,real
0.241932,0.245751,29.578804,5.855739,-3.533757,11.568735,0.043536,14.4,-3.237065,-1.772409,-2.215283,-4.245547,-3.15978,0.091063,0.00207303,3.0,Sad,2026-04-19T14:37:53.594209,real
0.246055,0.250989,28.002686,14.439656,2.631439,14.846431,0.061846,19.466667,-4.926482,-7.511757,-7.446888,-6.605943,-6.172044,0.080651,0.00553839,2.0,Sad,2026-04-19T14:38:28.128841,real
0.273683,0.241525,31.487117,15.000447,7.489784,18.776578,0.051793,20.8,0.856305,0.585391,-0.488631,-1.039947,-1.760361,0.139409,0.00153767,2.0,Sad,2026-04-19T14:39:23.932268,real
0.246613,0.245005,29.664009,12.963214,9.478143,18.146871,0.044539,21.466667,5.279512,1.183157,-0.480831,-1.462216,-2.66892,0.166017,0.00130378,2.0,Sad,2026-04-19T14:39:49.116750,real
0.245142,0.252647,18.893093,10.544687,5.981895,11.203022,0.02658,13.6,4.148337,2.641094,1.383927,0.237573,-0.689763,0.033591,0.00068353,1.0,Sad,2026-04-19T14:40:32.878345,real
0.247196,0.245405,33.293609,15.642191,8.908712,15.545653,0.081815,19.6,-0.489969,0.389469,-0.761067,-6.794295,-5.129277,0.114327,0.01093701,4.0,Sad,2026-04-19T14:41:10.574608,real
0.250685,0.250442,25.745457,14.000454,9.753025,13.918537,0.039212,14.666667,2.783479,2.635115,0.343681,-3.828869,-2.815141,0.061652,0.00084409,2.0,Sad,2026-04-19T14:41:24.022309,real
0.250275,0.250153,27.566727,15.919307,11.462685,22.182906,0.047852,25.2,-3.178837,-5.429977,-9.456412,-9.704647,-7.503637,0.133985,0.0010584,3.0,Sad,2026-04-19T14:41:52.977131,real
0.249028,0.245712,12.187325,8.411842,5.007071,15.113785,0.016803,20.933333,1.04981,-0.352285,-2.402626,-1.992514,-1.674404,0.028219,0.0003497,4.0,Sad,2026-04-19T14:42:06.396223,real
0.254293,0.248103,7.589399,6.176528,5.075911,10.241417,0.009984,10.533333,4.138742,3.161857,2.295083,1.628601,1.106733,0.017103,7.438e-05,0.0,Sad,2026-04-19T14:42:17.633416,real
0.25187,0.252653,31.056666,15.453891,9.144014,19.03939,0.044036,22.0,-0.072067,-1.242884,-3.837437,-3.696829,1.224838,0.098366,0.00110937,1.0,Sad,2026-04-19T14:42:36.652307,real
0.251378,0.247657,40.509037,19.925854,7.543866,11.257279,0.058795,12.4,-0.403187,-4.730574,-8.550505,-9.308281,-5.9352,0.125347,0.00069771,1.0,Sad,2026-04-19T14:42:57.704619,real
0.263767,0.267827,50.107933,-4.901898,0.158037,24.220259,0.092926,33.2,0.884015,2.898918,-2.938053,1.585193,2.634775,0.430842,0.00355358,4.0,Angry,2026-04-19T14:43:46.362190,real
0.252357,0.252291,23.476385,5.092524,6.101592,32.995159,0.043865,40.266667,-1.986451,1.253066,2.051037,2.352689,3.936441,0.175465,0.00109387,1.0,Angry,2026-04-19T14:44:38.727635,real
0.229696,0.237933,17.215462,-4.025021,2.96404,31.426522,0.041426,46.133333,-0.100149,5.791905,3.010131,-1.89866,-0.578855,0.176052,0.00165386,1.0,Angry,2026-04-19T14:44:58.189390,real
0.248363,0.251542,28.061225,-1.777029,3.022615,27.970215,0.044592,36.666667,4.997579,8.118863,1.945423,-2.446955,-0.451741,0.190256,0.00064033,1.0,Angry,2026-04-19T14:45:15.778371,real
0.246265,0.251403,17.395765,8.901419,5.625721,22.8927,0.021988,22.4,-0.479358,-1.584492,-3.345744,-3.262551,-2.657044,0.072726,0.00027222,1.0,Angry,2026-04-19T14:46:03.241882,real
0.249201,0.249453,21.32703,0.131838,5.264392,35.651069,0.043601,41.733333,-3.875228,-2.919211,-4.871897,-5.688319,0.605956,0.182553,0.00082044,3.0,Angry,2026-04-19T14:46:32.150694,real
