chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mood,timestamp
0.221504,0.242396,24.065246,13.425453,2.274895,16.850606,0.022309,9.972151,Sad,2026-04-12T01:47:21.588323
0.241426,0.238926,45.457232,12.123017,-0.699228,46.863915,0.091553,53.506282,Happy,2026-04-12T01:47:39.588323
0.258849,0.243616,42.071255,-13.973502,11.930463,25.344763,-0.02939,24.705765,Angry,2026-04-12T01:47:51.588323
0.253934,0.258129,8.508996,13.619789,16.57046,47.608397,0.018721,44.491148,Energetic,2026-04-12T01:48:14.588323
0.28651,0.212043,64.919945,16.024631,13.917683,-4.495611,0.085787,29.15895,Sad,2026-04-12T01:48:25.588323
0.234188,0.245599,33.503558,-3.558196,17.612289,15.336914,0.098835,17.188794,Happy,2026-04-12T01:48:38.588323
0.257417,0.253867,19.00632,-10.229843,5.930754,26.015645,0.078182,42.60767,Angry,2026-04-12T01:49:07.588323
0.268738,0.252392,28.320646,5.898899,-10.978422,16.839073,0.027785,54.942955,Energetic,2026-04-12T01:49:26.588323
0.264785,0.215432,41.516492,21.938046,8.207977,17.687985,0.005021,15.061103,Sad,2026-04-12T01:49:47.588323
0.254537,0.240749,36.161077,6.114713,-1.703128,25.59927,0.000306,48.761552,Happy,2026-04-12T01:50:05.588323
0.25146,0.256425,19.539455,4.314963,5.49596,14.655756,0.038466,20.769308,Angry,2026-04-12T01:50:15.588323
0.244278,0.2554,16.36523,7.429338,-3.998761,14.601848,0.026733,29.304307,Energetic,2026-04-12T01:50:30.588323
0.211344,0.263285,46.632317,-7.372516,13.474829,3.012356,0.017629,-0.461381,Sad,2026-04-12T01:50:44.588323
0.22468,0.238488,53.521337,13.077106,1.52356,14.716562,0.055258,6.763048,Happy,2026-04-12T01:51:02.588323
0.249162,0.25122,31.296148,0.900402,3.101452,26.551772,0.112174,19.971637,Angry,2026-04-12T01:51:28.588323
0.234983,0.245877,22.939282,1.043371,11.351926,26.179822,0.051958,21.466757,Energetic,2026-04-12T01:51:42.588323
